tied_best_scores,diff_lt_1e-1,diff_lt_1e-2,diff_lt_1e-3,diff_lt_1e-4,diff_lt_1e-5,diff_lt_1e-6,diff_eq_0
1,46,17,3,2,1,1,1
47,33,19,10,5,1,1,1
38,43,15,5,1,1,1,1
1,43,14,7,2,1,1,1
35,43,14,4,2,1,1,1
1,34,12,4,2,1,1,1
1,39,23,5,2,1,1,1
1,37,22,6,3,2,1,1
1,37,21,6,2,1,1,1
1,41,18,7,3,1,1,1
47,29,24,1,1,1,1,1
43,35,17,3,1,1,1,1
1,45,19,7,2,1,1,1
2,40,21,9,2,1,1,1
15,35,18,10,1,1,1,1
1,43,25,9,3,1,1,1
5,47,16,6,2,1,1,1
67,43,24,8,1,1,1,1
9,40,13,3,1,1,1,1
29,47,16,4,2,1,1,1
1,40,17,8,3,1,1,1
1,38,15,6,1,1,1,1
1,42,13,2,1,1,1,1
11,40,21,4,1,1,1,1
1,36,13,4,2,1,1,1
9,41,14,3,1,1,1,1
1,38,27,10,5,2,1,1
1,40,22,7,3,1,1,1
5,34,23,7,1,1,1,1
38,32,22,4,1,1,1,1
1,43,12,5,2,1,1,1
42,30,15,8,2,1,1,1
1,43,21,6,2,1,1,1
12,36,22,10,1,1,1,1
1,39,15,3,1,1,1,1
1,37,18,4,2,1,1,1
1,47,14,3,1,1,1,1
27,34,29,6,2,1,1,1
1,48,18,3,2,1,1,1
52,33,22,7,1,1,1,1
1,35,10,1,1,1,1,1
36,38,16,4,1,1,1,1
31,36,18,4,2,1,1,1
1,38,15,4,1,1,1,1
1,34,9,4,1,1,1,1
51,35,22,7,3,1,1,1
63,35,13,6,3,1,1,1
15,39,17,8,2,1,1,1
1,46,24,6,2,1,1,1
1,40,20,5,2,1,1,1
3,39,18,6,3,1,1,1
1,40,16,4,2,2,1,1
5,41,13,2,1,1,1,1
1,44,14,2,1,1,1,1
13,43,16,6,2,1,1,1
19,38,14,4,1,1,1,1
50,35,19,6,1,1,1,1
5,43,17,4,2,1,1,1
6,39,17,4,2,1,1,1
39,44,25,11,4,1,1,1
11,38,15,7,1,1,1,1
52,42,16,3,1,1,1,1
1,51,17,5,1,1,1,1
1,44,16,5,1,1,1,1
1,43,19,7,2,1,1,1
1,44,20,8,1,1,1,1
1,44,22,5,1,1,1,1
25,32,21,12,2,1,1,1
1,40,18,6,2,1,1,1
1,41,18,5,1,1,1,1
1,31,24,7,5,1,1,1
5,39,22,7,2,1,1,1
1,45,21,7,1,1,1,1
8,41,19,3,2,1,1,1
54,32,16,6,2,1,1,1
1,45,18,4,1,1,1,1
1,38,19,4,1,1,1,1
50,44,16,5,2,1,1,1
22,39,30,10,3,1,1,1
2,34,25,5,1,1,1,1
5,49,17,4,1,1,1,1
3,46,23,5,1,1,1,1
30,42,32,11,2,1,1,1
14,41,22,5,1,1,1,1
1,52,22,5,1,1,1,1
1,43,18,7,2,1,1,1
54,44,18,6,2,1,1,1
14,43,24,6,1,1,1,1
1,40,8,3,1,1,1,1
1,41,17,6,4,1,1,1
1,38,16,6,3,1,1,1
1,37,14,5,2,1,1,1
1,43,16,4,2,2,1,1
1,33,16,7,6,1,1,1
1,38,12,3,1,1,1,1
15,27,20,4,3,1,1,1
1,41,11,1,1,1,1,1
1,35,14,2,1,1,1,1
1,40,13,5,2,1,1,1
3,43,10,2,1,1,1,1
