tied_best_scores,diff_lt_1e-1,diff_lt_1e-2,diff_lt_1e-3,diff_lt_1e-4,diff_lt_1e-5,diff_lt_1e-6,diff_eq_0
1,33,3,1,1,1,1,1
47,16,1,1,1,1,1,1
38,19,3,1,1,1,1,1
1,35,2,1,1,1,1,1
35,26,1,1,1,1,1,1
1,38,1,1,1,1,1,1
1,25,2,1,1,1,1,1
1,18,1,1,1,1,1,1
1,17,1,1,1,1,1,1
1,25,2,1,1,1,1,1
47,11,3,2,1,1,1,1
43,21,1,1,1,1,1,1
1,26,2,1,1,1,1,1
2,15,2,1,1,1,1,1
15,17,2,1,1,1,1,1
1,45,1,1,1,1,1,1
5,20,1,1,1,1,1,1
67,20,2,1,1,1,1,1
9,30,3,1,1,1,1,1
29,22,1,1,1,1,1,1
1,17,1,1,1,1,1,1
1,29,3,1,1,1,1,1
1,35,3,1,1,1,1,1
11,17,1,1,1,1,1,1
1,26,1,1,1,1,1,1
9,20,2,2,1,1,1,1
1,24,1,1,1,1,1,1
1,30,1,1,1,1,1,1
5,25,1,1,1,1,1,1
38,29,1,1,1,1,1,1
1,24,1,1,1,1,1,1
42,16,1,1,1,1,1,1
1,23,3,1,1,1,1,1
12,17,1,1,1,1,1,1
1,17,1,1,1,1,1,1
1,56,4,1,1,1,1,1
1,21,4,1,1,1,1,1
27,39,2,1,1,1,1,1
1,19,1,1,1,1,1,1
52,17,1,1,1,1,1,1
1,25,2,1,1,1,1,1
36,24,3,2,2,1,1,1
31,18,1,1,1,1,1,1
1,19,1,1,1,1,1,1
1,48,1,1,1,1,1,1
51,18,1,1,1,1,1,1
63,25,3,1,1,1,1,1
15,25,1,1,1,1,1,1
1,20,2,1,1,1,1,1
1,22,3,1,1,1,1,1
3,24,3,1,1,1,1,1
1,25,2,2,1,1,1,1
5,23,2,1,1,1,1,1
1,32,3,1,1,1,1,1
13,30,3,1,1,1,1,1
19,27,5,1,1,1,1,1
50,27,2,1,1,1,1,1
5,30,3,1,1,1,1,1
6,29,2,1,1,1,1,1
39,20,1,1,1,1,1,1
11,27,3,2,2,2,1,1
52,30,3,1,1,1,1,1
1,26,1,1,1,1,1,1
1,19,1,1,1,1,1,1
1,23,3,3,1,1,1,1
1,22,2,1,1,1,1,1
1,20,3,1,1,1,1,1
25,17,1,1,1,1,1,1
1,24,2,1,1,1,1,1
1,15,1,1,1,1,1,1
1,15,1,1,1,1,1,1
5,16,1,1,1,1,1,1
1,24,4,1,1,1,1,1
8,16,3,1,1,1,1,1
54,12,1,1,1,1,1,1
1,17,2,1,1,1,1,1
1,14,2,1,1,1,1,1
50,22,2,1,1,1,1,1
22,21,3,1,1,1,1,1
2,12,2,2,1,1,1,1
5,27,3,2,1,1,1,1
3,12,1,1,1,1,1,1
30,14,3,1,1,1,1,1
14,13,3,2,1,1,1,1
1,19,1,1,1,1,1,1
1,23,1,1,1,1,1,1
54,28,3,2,1,1,1,1
14,29,4,1,1,1,1,1
1,26,2,1,1,1,1,1
1,23,1,1,1,1,1,1
1,34,1,1,1,1,1,1
1,19,2,1,1,1,1,1
1,24,1,1,1,1,1,1
1,20,2,1,1,1,1,1
1,16,1,1,1,1,1,1
15,14,1,1,1,1,1,1
1,26,2,1,1,1,1,1
1,23,1,1,1,1,1,1
1,15,2,1,1,1,1,1
3,31,1,1,1,1,1,1
