tied_best_scores,diff_lt_1e-1,diff_lt_1e-2,diff_lt_1e-3,diff_lt_1e-4,diff_lt_1e-5,diff_lt_1e-6,diff_eq_0
1,14,1,1,1,1,1,1
47,5,2,1,1,1,1,1
38,15,1,1,1,1,1,1
1,24,1,1,1,1,1,1
35,13,1,1,1,1,1,1
1,15,1,1,1,1,1,1
1,16,2,1,1,1,1,1
1,17,2,1,1,1,1,1
1,10,1,1,1,1,1,1
1,17,1,1,1,1,1,1
47,8,3,1,1,1,1,1
43,13,2,1,1,1,1,1
1,21,2,1,1,1,1,1
2,12,2,1,1,1,1,1
15,10,1,1,1,1,1,1
1,24,2,1,1,1,1,1
5,21,3,1,1,1,1,1
67,18,1,1,1,1,1,1
9,22,1,1,1,1,1,1
29,15,3,1,1,1,1,1
1,14,1,1,1,1,1,1
1,22,3,2,1,1,1,1
1,26,2,1,1,1,1,1
11,13,1,1,1,1,1,1
1,19,2,2,1,1,1,1
9,15,2,1,1,1,1,1
1,9,1,1,1,1,1,1
1,32,1,1,1,1,1,1
5,12,1,1,1,1,1,1
38,11,1,1,1,1,1,1
1,15,1,1,1,1,1,1
42,15,1,1,1,1,1,1
1,17,1,1,1,1,1,1
12,15,2,1,1,1,1,1
1,14,1,1,1,1,1,1
1,24,2,1,1,1,1,1
1,14,2,1,1,1,1,1
27,13,2,1,1,1,1,1
1,17,3,1,1,1,1,1
52,7,1,1,1,1,1,1
1,14,1,1,1,1,1,1
36,8,1,1,1,1,1,1
31,11,1,1,1,1,1,1
1,16,3,1,1,1,1,1
1,31,2,2,1,1,1,1
51,16,4,1,1,1,1,1
63,13,1,1,1,1,1,1
15,19,2,1,1,1,1,1
1,5,1,1,1,1,1,1
1,16,3,1,1,1,1,1
3,15,3,1,1,1,1,1
1,17,2,1,1,1,1,1
5,21,1,1,1,1,1,1
1,19,1,1,1,1,1,1
13,25,2,1,1,1,1,1
19,19,1,1,1,1,1,1
50,24,1,1,1,1,1,1
5,28,1,1,1,1,1,1
6,22,3,1,1,1,1,1
39,29,2,1,1,1,1,1
11,29,3,1,1,1,1,1
52,26,2,1,1,1,1,1
1,20,1,1,1,1,1,1
1,14,1,1,1,1,1,1
1,16,2,1,1,1,1,1
1,14,1,1,1,1,1,1
1,11,1,1,1,1,1,1
25,8,1,1,1,1,1,1
1,17,3,1,1,1,1,1
1,7,1,1,1,1,1,1
1,9,2,1,1,1,1,1
5,7,1,1,1,1,1,1
1,23,2,1,1,1,1,1
8,9,1,1,1,1,1,1
54,3,1,1,1,1,1,1
1,12,2,1,1,1,1,1
1,12,3,1,1,1,1,1
50,11,1,1,1,1,1,1
22,12,2,1,1,1,1,1
2,8,1,1,1,1,1,1
5,14,2,1,1,1,1,1
3,13,2,1,1,1,1,1
30,10,1,1,1,1,1,1
14,8,1,1,1,1,1,1
1,16,1,1,1,1,1,1
1,17,3,1,1,1,1,1
54,21,1,1,1,1,1,1
14,17,1,1,1,1,1,1
1,11,1,1,1,1,1,1
1,16,1,1,1,1,1,1
1,14,1,1,1,1,1,1
1,22,3,2,1,1,1,1
1,22,2,1,1,1,1,1
1,14,1,1,1,1,1,1
1,8,1,1,1,1,1,1
15,8,1,1,1,1,1,1
1,11,1,1,1,1,1,1
1,13,1,1,1,1,1,1
1,7,1,1,1,1,1,1
3,22,1,1,1,1,1,1
